,1.7 x 2.31,1.85 x 3.0,2.25 x 3.7,2.5 x 4.25
Phase,1,1,1,1
0-10V,1,1,1,1
Dali,1,1,1,1
Casambi,1,1,1,1
Other,1,1,1,1
