,XOB09,XOB14,BXRV 1000,BXRV 2000,XTM19,Other
Phase,1,1,1,1,1,1
0-10V,1,1,1,1,1,1
Dali,1,1,1,1,1,1
Casambi,1,1,1,1,1,1
Other,1,1,1,1,1,1
