,cielo,magtech,solodrive 0-10,optotronic,48V DC,24V DC
C13085  spot,1,1,1,1,1,1
C13086  medium,1,1,1,1,1,1
C13087  wide,1,1,1,1,1,1
C13806  white,1,1,1,1,1,1
F14738  spot,1,1,1,1,1,1
F14739  medium,1,1,1,1,1,1
F14740. wide,1,1,1,1,1,1
XSA-221 medium,1,1,1,1,1,1
XSA-222 wide,1,1,1,1,1,1
OJA,1,1,1,1,1,1
1501-50-15 spot,1,1,1,1,1,1
