,1.7 x 2.31,1.85 x 3.0,2.25 x 3.7,2.5 x 4.25
XOB09,1,1,1,1
XOB14,0,0,1,1
BXRV 1000,1,1,1,1
BXRV 2000,0,0,1,1
XTM19,0,0,1,1
Other,1,1,1,1
