,1.7 x 2.31,1.85 x 3.0,2.25 x 3.7,2.5 x 4.25
C13085  spot,1,0,0,0
C13086  medium,1,0,0,0
C13087  wide,1,0,0,0
C13806  white,1,0,0,0
F14738  spot,0,1,0,0
F14739  medium,0,1,0,0
F14740. wide,0,1,0,0
XSA-221 medium,0,0,1,0
XSA-222 wide,0,0,1,0
OJA,0,0,1,0
1501-50-15 spot,0,0,1,0
